PlotID	SampleID	TubeID	BarcodeID	PrimerPairID	Vol	Conc	Quantity	ProjectID	Investigator	PlatePosition	SpeciesID	HarvestYear
3L	P5tz	G4	Alpha31	LSU	15	32.36	NA	Zanne-LSU/Zanne-LSU	Zanne	G4	PIEC	1
3L	P5tz	G4	Alpha31	16S	15	39.65	NA	Zanne-16S/Zanne-16S	Zanne	G4	PIEC	1
3L	P5bz	H4	Alpha32	ITS-1_4	15	2.04	NA	Zanne-ITS/Zanne-ITS	Zanne	H4	PIEC	1
3L	P5bz	H4	Alpha32	LSU	15	13.22	NA	Zanne-LSU/Zanne-LSU	Zanne	H4	PIEC	1
3L	P5bz	H4	Alpha32	16S	15	28.29	NA	Zanne-16S/Zanne-16S	Zanne	H4	PIEC	1
3L	Q5tz	A5	Alpha33	ITS-1_4	15	2.15	NA	Zanne-ITS/Zanne-ITS	Zanne	A5	PIST	3
3L	Q5tz	A5	Alpha33	LSU	15	4.88	NA	Zanne-LSU/Zanne-LSU	Zanne	A5	PIST	3
3L	Q5tz	A5	Alpha33	16S	15	3.34	NA	Zanne-16S/Zanne-16S	Zanne	A5	PIST	3
3L	Q5bz	B5	Alpha34	ITS-1_4	15	8.38	NA	Zanne-ITS/Zanne-ITS	Zanne	B5	PIST	3
3L	Q5bz	B5	Alpha34	LSU	15	23.53	NA	Zanne-LSU/Zanne-LSU	Zanne	B5	PIST	3
3L	Q5bz	B5	Alpha34	16S	15	19.74	NA	Zanne-16S/Zanne-16S	Zanne	B5	PIST	3
3L	R5tz	C5	Alpha35	ITS-1_4	15	13.58	NA	Zanne-ITS/Zanne-ITS	Zanne	C5	PLOC	3
3L	R5tz	C5	Alpha35	LSU	15	2.53	NA	Zanne-LSU/Zanne-LSU	Zanne	C5	PLOC	3
3L	R5tz	C5	Alpha35	16S	15	3.13	NA	Zanne-16S/Zanne-16S	Zanne	C5	PLOC	3
3L	R5bz	D5	Alpha36	ITS-1_4	15	16.55	NA	Zanne-ITS/Zanne-ITS	Zanne	D5	PLOC	3
